score 	 sentence_1 	 sentence_2
3.9738 	 Bread lasts longer out of the refrigerator.	Storing bread in the freezer you can store for several days and keep it soft. 
3.4675 	 Some people I know claim it imparts the salt flavor to meat, without any of the actual sodium being present.	Salt is a good means to control/suppress flames and flareups without having a cooling effect on the coals. 
3.0174 	 Soaking for a while in cold water beforehand also helps tame the bitterness.	Braising gently in milk will also, I find, help with bitterness. 
1.8270 	 Probably use it quickly, I would think...	If you want it light, you need to use it quickly, as the bubbles will disappate over time. 
3.8025 	 The carrots are rotten.	When carrots turn black, it is almost always caused by rot. 
3.9738 	 I think you're looking for a "sandwich press.	The device is called a "panini press" and they're available fairly small 
3.4675 	 Could be Topaz Adjust, or any HDR program.	I used Photoshop with Topaz Labs Denoise and Adjust 
3.0174 	 The CN Tower in Toronto seems pretty good too: 22 km per hour	The worlds fastest elevator: Burj Khalifa with 64 km per hour Though, the speed of the elevator to the observation deck is 36 km per hour 
1.8270 	 If you are going to Italy, the Video Game Museum ViGaMus in Rome will be the place to visit.	The Computerspielemuseum in Berlin claims to have been "the world's first permanent exhibition devoted to digital interactive entertainment culture." 
3.8025 	 It is Santorini.	According to Google Image, it should be Santorini. 
3.9738 	 Pretty sure you're thinking of The Host by Stephanie Meyer, of Twilight fame.	I finally found it: It's The Lives of Tao by Wesley Chu 
3.4675 	 Sounds vaguely like Paycheck.	Sounds almost like Greg Egan's Quarantine but as far as I know that's only a novel. 
3.0174 	 I think you mean self-inflicted (of an injury) having been inflicted on oneself by oneself or self-induced induced or brought on by oneself or itself	Consider self-defeating causing the same problems that you were intending to solve 
1.8270 	 Perhaps realize: "He realized his full power."	He has unleashed his full potential. 
3.8025 	 I have heard the phrase "gal pal" used in this way.	Personally I typically use "guy friends" and "lady friends" to avoid the relationship connotation. 
3.9738 	 The notion of groupthink is closely related.	Perhaps they are members of a mutual admiration society. 
3.4675 	 In technical computer manuals we use the word "deprecate".	I would suggest "advise against."  
3.0174 	 Consider uncomprehending Not understanding; having little or no comprehension.	You may want to use oblivious. 
1.8270 	 He is a dependent friend.	He may be called a moocher. 
3.8025 	 It went from bad to worse	Out of the frying pan, into the fire. 
